SEXO;FECHA_NACIMIENTO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;DISCAPACIDAD;PERIODO_MATRICULA;FACULTAD;ESCUELA_PROFESIONAL;CICLO;NOTA_PROMEDIO;PERIODO_INGRESO;PERIODO_PRIMERA_MATRICULA;FECHA_MATRICULA;CREDITOS_MATRICULADOS
FEMENINO;20021211;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;15.32;2020-2;2022-1;20230926;22
MASCULINO;20020208;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;5;13.73;2000-1;2022-1;20230926;10
MASCULINO;20010619;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;3;14;2000-1;2022-1;20230926;25
FEMENINO;19980710;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;10.52;2022-1;2022-1;20230926;21
FEMENINO;20001222;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;9;12.75;2018-1;2018-1;20230926;16
FEMENINO;20040416;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;14.5;2022-1;2022-1;20230926;20
FEMENINO;20001126;50109;AYACUCHO;HUAMANGA;VINCHOS;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;12.2;2021-1;2022-1;20230926;25
FEMENINO;20020604;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;10.81;2022-1;2022-1;20230926;16
MASCULINO;19860726;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;2;2.48;2022-1;2022-1;20230926;3
FEMENINO;20020823;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;14;2022-1;2022-1;20230926;21
FEMENINO;19981006;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;9;12.19;2018-1;2018-1;20230926;13
FEMENINO;20011227;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
FEMENINO;20030804;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;2;10.9;2022-1;2022-1;20230926;19
